Model,Scenario,Region,Variable,Unit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Contracting_model,Extreme 1,Electric Grid,Supply from PV|Self financed|Electric Grid,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Battery,Supply from PV|Self financed|Battery,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Household,Supply from PV|Self financed|Household,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,HP,Supply from PV|Self financed|HP,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Curtailment,Supply from PV|Self financed|Curtailment,kW,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Supply from PV|Contractor|Car,kW,0.0,0.0,0.0,0.0,0.0,0.0,6.66666666666666,3.33333333333333,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,34.0,11.9461833333333,0.959933333333333,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Supply from PV|Contractor|Electric Grid,kW,0.0,0.0,0.0,0.0,0.0,0.0,3.94783333333334,32.5074666666667,50.0884666666667,71.0776583333333,60.8498666666667,89.8054333333333,70.0326416666667,37.108175,24.9111,35.097025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Supply from PV|Contractor|Battery,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Supply from PV|Contractor|Household,kW,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,4.0,0.0854249999999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Supply from PV|Contractor|HP,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Extreme 1,Vienna,Supply from PV|Contractor|Curtailment,kW,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,7.105427357601e-15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
