Model,Scenario,Region,Variable,Unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Contracting_model,Contracting_1,Supply PV Contractor,Supply,kW,0.0,0.0,0.0,0.0,0.0,15.6145,40.8408,65.0884666666667,86.0776583333333,74.8498666666667,93.8054333333333,76.0326416666667,43.108175,30.9111,39.097025,34.085425,11.9461833333333,0.959933333333333,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Contracting_1,Supply PV to Grid,Supply,kW,0.0,0.0,0.0,0.0,0.0,-0.0,17.0908,31.3384666666667,52.3276583333333,53.9217620915033,72.8773287581699,63.6128885802469,30.6884219135802,18.9461877192982,29.1321127192982,-8.88178419700125e-16,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Contracting_1,Supply PV to Household,Supply,kW,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Contracting_1,Demand Charging,Demand - Charging,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Contracting_1,Supply PV to Car,Supply,kW,0.0,0.0,0.0,0.0,0.0,1.77635683940025e-15,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,28.1205127192982,5.98127105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Contracting_1,shifted_demand,Shifted Demand,kW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Contracting_1,Supply Grid to Car,Supply,kW,0.0,0.0,0.0,0.0,0.0,-1.77635683940025e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87948728070176,28.0187289473684,34.0,34.0,0.0,0.0,0.0,0.0,0.0
Contracting_model,Contracting_1,Supply PV to HP,Supply,kW,0.0,0.0,0.0,0.0,0.0,15.6145,18.75,18.75,18.75,6.9281045751634,6.9281045751634,6.41975308641975,6.41975308641975,5.96491228070175,5.96491228070175,5.96491228070175,5.96491228070175,0.959933333333333,0.0,0.0,0.0,0.0,0.0,0.0
